ImageIndex,GlobalAngle,PixelY
0.000,0.00,2018
0.004,0.06,2020
0.008,0.12,2023
0.012,0.18,2025
0.016,0.23,2028
0.020,0.29,2030
0.023,0.35,2033
0.027,0.41,2035
0.031,0.47,2038
0.035,0.53,2040
0.039,0.59,2042
0.043,0.64,2045
0.047,0.70,2047
0.051,0.76,2049
0.055,0.82,2052
0.059,0.88,2054
0.063,0.94,2056
0.066,1.00,2058
0.070,1.05,2060
0.074,1.11,2063
0.078,1.17,2065
0.082,1.23,2067
0.086,1.29,2069
0.090,1.35,2071
0.094,1.41,2073
0.098,1.46,2075
0.102,1.52,2077
0.105,1.58,2079
0.109,1.64,2081
0.113,1.70,2083
0.117,1.76,2085
0.121,1.82,2087
0.125,1.88,2089
0.129,1.93,2091
0.133,1.99,2093
0.137,2.05,2095
0.141,2.11,2096
0.145,2.17,2098
0.148,2.23,2100
0.152,2.29,2102
0.156,2.34,2104
0.160,2.40,2105
0.164,2.46,2107
0.168,2.52,2109
0.172,2.58,2110
0.176,2.64,2112
0.180,2.70,2113
0.184,2.75,2115
0.188,2.81,2117
0.191,2.87,2118
0.195,2.93,2120
0.199,2.99,2121
0.203,3.05,2123
0.207,3.11,2124
0.211,3.16,2126
0.215,3.22,2127
0.219,3.28,2129
0.223,3.34,2130
0.227,3.40,2131
0.230,3.46,2133
0.234,3.52,2134
0.238,3.57,2135
0.242,3.63,2137
0.246,3.69,2138
0.250,3.75,2139
0.254,3.81,2140
0.258,3.87,2142
0.262,3.93,2143
0.266,3.98,2144
0.270,4.04,2145
0.273,4.10,2146
0.277,4.16,2148
0.281,4.22,2149
0.285,4.28,2150
0.289,4.34,2151
0.293,4.39,2152
0.297,4.45,2153
0.301,4.51,2153
0.305,4.57,2155
0.309,4.63,2155
0.313,4.69,2156
0.316,4.75,2157
0.320,4.80,2158
0.324,4.86,2159
0.328,4.92,2160
0.332,4.98,2161
0.336,5.04,2161
0.340,5.10,2162
0.344,5.16,2163
0.348,5.21,2164
0.352,5.27,2164
0.355,5.33,2165
0.359,5.39,2166
0.363,5.45,2166
0.367,5.51,2167
0.371,5.57,2168
0.375,5.63,2168
0.379,5.68,2169
0.383,5.74,2169
0.387,5.80,2170
0.391,5.86,2170
0.395,5.92,2171
0.398,5.98,2171
0.402,6.04,2172
0.406,6.09,2172
0.410,6.15,2173
0.414,6.21,2173
0.418,6.27,2174
0.422,6.33,2174
0.426,6.39,2174
0.430,6.45,2174
0.434,6.50,2175
0.438,6.56,2175
0.441,6.62,2175
0.445,6.68,2176
0.449,6.74,2176
0.453,6.80,2176
0.457,6.86,2176
0.461,6.91,2176
0.465,6.97,2176
