Index,Angle,Y
0.000,0.00,1475
0.002,0.03,1476
0.004,0.06,1478
0.006,0.09,1479
0.008,0.12,1481
0.010,0.15,1482
0.012,0.18,1483
0.014,0.21,1485
0.016,0.23,1486
0.018,0.26,1488
0.020,0.29,1489
0.021,0.32,1490
0.023,0.35,1492
0.025,0.38,1493
0.027,0.41,1494
0.029,0.44,1496
0.031,0.47,1497
0.033,0.50,1498
0.035,0.53,1500
0.037,0.56,1501
0.039,0.59,1502
0.041,0.62,1504
0.043,0.64,1505
0.045,0.67,1506
0.047,0.70,1508
0.049,0.73,1509
0.051,0.76,1510
0.053,0.79,1511
0.055,0.82,1513
0.057,0.85,1514
0.059,0.88,1515
0.061,0.91,1516
0.063,0.94,1518
0.064,0.97,1519
0.066,1.00,1520
0.068,1.03,1521
0.070,1.05,1523
0.072,1.08,1524
0.074,1.11,1525
0.076,1.14,1526
0.078,1.17,1527
0.080,1.20,1529
0.082,1.23,1530
0.084,1.26,1531
0.086,1.29,1532
0.088,1.32,1533
0.090,1.35,1535
0.092,1.38,1536
0.094,1.41,1537
0.096,1.44,1538
0.098,1.46,1539
0.100,1.49,1540
0.102,1.52,1542
0.104,1.55,1543
0.105,1.58,1544
0.107,1.61,1545
0.109,1.64,1546
0.111,1.67,1547
0.113,1.70,1548
0.115,1.73,1550
0.117,1.76,1551
0.119,1.79,1552
0.121,1.82,1553
0.123,1.85,1554
0.125,1.88,1555
0.127,1.90,1556
0.129,1.93,1557
0.131,1.96,1558
0.133,1.99,1559
0.135,2.02,1560
0.137,2.05,1561
0.139,2.08,1562
0.141,2.11,1563
0.143,2.14,1565
0.145,2.17,1566
0.146,2.20,1567
0.148,2.23,1568
0.150,2.26,1569
0.152,2.29,1570
0.154,2.31,1571
0.156,2.34,1572
0.158,2.37,1573
0.160,2.40,1574
0.162,2.43,1575
0.164,2.46,1576
0.166,2.49,1577
0.168,2.52,1578
0.170,2.55,1579
0.172,2.58,1580
0.174,2.61,1581
0.176,2.64,1581
0.178,2.67,1582
0.180,2.70,1583
0.182,2.72,1584
0.184,2.75,1585
0.186,2.78,1586
0.188,2.81,1587
0.189,2.84,1588
0.191,2.87,1589
0.193,2.90,1590
0.195,2.93,1591
0.197,2.96,1592
0.199,2.99,1592
0.201,3.02,1593
0.203,3.05,1594
0.205,3.08,1595
0.207,3.11,1596
0.209,3.13,1597
0.211,3.16,1598
0.213,3.19,1599
0.215,3.22,1599
0.217,3.25,1600
0.219,3.28,1601
0.221,3.31,1602
0.223,3.34,1603
0.225,3.37,1604
0.227,3.40,1604
0.229,3.43,1605
0.230,3.46,1606
0.232,3.49,1607
0.234,3.52,1608
0.236,3.54,1608
0.238,3.57,1609
0.240,3.60,1610
0.242,3.63,1611
0.244,3.66,1612
0.246,3.69,1612
0.248,3.72,1613
0.250,3.75,1614
0.252,3.78,1615
0.254,3.81,1617
0.256,3.84,1616
0.258,3.87,1619
0.260,3.90,1618
0.262,3.93,1618
0.264,3.96,1619
0.266,3.98,1620
0.268,4.01,1621
0.270,4.04,1621
0.271,4.07,1622
0.273,4.10,1623
0.275,4.13,1623
0.277,4.16,1624
0.279,4.19,1625
0.281,4.22,1625
0.283,4.25,1626
0.285,4.28,1627
0.287,4.31,1627
0.289,4.34,1628
0.291,4.37,1629
0.293,4.39,1629
0.295,4.42,1630
0.297,4.45,1631
0.299,4.48,1631
0.301,4.51,1632
0.303,4.54,1632
0.305,4.57,1633
0.307,4.60,1634
0.309,4.63,1634
0.311,4.66,1635
0.313,4.69,1636
0.314,4.72,1636
0.316,4.75,1637
0.318,4.78,1637
0.320,4.80,1638
0.322,4.83,1638
0.324,4.86,1639
0.326,4.89,1639
0.328,4.92,1640
0.330,4.95,1641
0.332,4.98,1641
0.334,5.01,1642
0.336,5.04,1642
0.338,5.07,1643
0.340,5.10,1643
0.342,5.13,1644
0.344,5.16,1644
0.346,5.19,1645
0.348,5.21,1645
0.350,5.24,1646
0.352,5.27,1646
0.354,5.30,1647
0.355,5.33,1647
0.357,5.36,1648
0.359,5.39,1648
0.361,5.42,1649
0.363,5.45,1649
0.365,5.48,1649
0.367,5.51,1650
0.369,5.54,1650
0.371,5.57,1651
0.373,5.60,1651
0.375,5.63,1652
0.377,5.65,1652
0.379,5.68,1653
0.381,5.71,1653
0.383,5.74,1653
0.385,5.77,1654
0.387,5.80,1654
0.389,5.83,1655
0.391,5.86,1655
0.393,5.89,1655
0.395,5.92,1656
0.396,5.95,1656
0.398,5.98,1656
0.400,6.01,1657
